 m,M ->b,B
x-axis: "Sqrt(S)"  from 50.000000 to 2400.000000 N_points= 100
Asymmetry
5.000000E+01 -5.002003E-01
7.373737E+01 -3.521276E-01
9.747475E+01 2.207338E-01
1.212121E+02 4.553448E-01
1.449495E+02 5.419974E-01
1.686869E+02 5.799481E-01
1.924242E+02 5.993178E-01
2.161616E+02 6.104298E-01
2.398990E+02 6.174037E-01
2.636364E+02 6.221037E-01
2.873737E+02 6.254615E-01
3.111111E+02 6.279809E-01
3.348485E+02 6.299524E-01
3.585859E+02 6.315521E-01
3.823232E+02 6.328917E-01
4.060606E+02 6.340440E-01
4.297980E+02 6.350581E-01
4.535354E+02 6.359673E-01
4.772727E+02 6.367947E-01
5.010101E+02 6.375561E-01
5.247475E+02 6.382621E-01
5.484848E+02 6.389192E-01
5.722222E+02 6.395311E-01
5.959596E+02 6.400987E-01
6.196970E+02 6.406206E-01
6.434343E+02 6.410935E-01
6.671717E+02 6.415119E-01
6.909091E+02 6.418685E-01
7.146465E+02 6.421535E-01
7.383838E+02 6.423548E-01
7.621212E+02 6.424576E-01
7.858586E+02 6.424438E-01
8.095960E+02 6.422920E-01
8.333333E+02 6.419761E-01
8.570707E+02 6.414653E-01
8.808081E+02 6.407227E-01
9.045455E+02 6.397040E-01
9.282828E+02 6.383566E-01
9.520202E+02 6.366171E-01
9.757576E+02 6.344095E-01
9.994949E+02 6.316425E-01
1.023232E+03 6.282058E-01
1.046970E+03 6.239665E-01
1.070707E+03 6.187631E-01
1.094444E+03 6.124000E-01
1.118182E+03 6.046394E-01
1.141919E+03 5.951918E-01
1.165657E+03 5.837050E-01
1.189394E+03 5.697506E-01
1.213131E+03 5.528089E-01
1.236869E+03 5.322528E-01
1.260606E+03 5.073315E-01
1.284343E+03 4.771585E-01
1.308081E+03 4.407088E-01
1.331818E+03 3.968363E-01
1.355556E+03 3.443275E-01
1.379293E+03 2.820146E-01
1.403030E+03 2.089784E-01
1.426768E+03 1.248663E-01
1.450505E+03 3.032870E-02
1.474242E+03 -7.248271E-02
1.497980E+03 -1.795139E-01
1.521717E+03 -2.847676E-01
1.545455E+03 -3.808935E-01
1.569192E+03 -4.604755E-01
1.592929E+03 -5.176796E-01
1.616667E+03 -5.495944E-01
1.640404E+03 -5.566665E-01
1.664141E+03 -5.421208E-01
1.687879E+03 -5.107740E-01
1.711616E+03 -4.678104E-01
1.735354E+03 -4.179097E-01
1.759091E+03 -3.648174E-01
1.782828E+03 -3.112638E-01
1.806566E+03 -2.590797E-01
1.830303E+03 -2.093879E-01
1.854040E+03 -1.627961E-01
1.877778E+03 -1.195604E-01
1.901515E+03 -7.970913E-02
1.925253E+03 -4.313207E-02
1.948990E+03 -9.641043E-03
1.972727E+03 2.099019E-02
1.996465E+03 4.900073E-02
2.020202E+03 7.462718E-02
2.043939E+03 9.809490E-02
2.067677E+03 1.196134E-01
2.091414E+03 1.393746E-01
2.115152E+03 1.575521E-01
2.138889E+03 1.743024E-01
2.162626E+03 1.897653E-01
2.186364E+03 2.040661E-01
2.210101E+03 2.173163E-01
2.233838E+03 2.296152E-01
2.257576E+03 2.410514E-01
2.281313E+03 2.517040E-01
2.305051E+03 2.616435E-01
2.328788E+03 2.709329E-01
2.352525E+03 2.796285E-01
2.376263E+03 2.877809E-01
2.400000E+03 2.954354E-01
