 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 9.985857E-02
-9.702970E-01 9.789437E-02
-9.504950E-01 9.599608E-02
-9.306931E-01 9.416368E-02
-9.108911E-01 9.239719E-02
-8.910891E-01 9.069661E-02
-8.712871E-01 8.906192E-02
-8.514851E-01 8.749314E-02
-8.316832E-01 8.599027E-02
-8.118812E-01 8.455330E-02
-7.920792E-01 8.318223E-02
-7.722772E-01 8.187706E-02
-7.524752E-01 8.063780E-02
-7.326733E-01 7.946445E-02
-7.128713E-01 7.835699E-02
-6.930693E-01 7.731544E-02
-6.732673E-01 7.633980E-02
-6.534653E-01 7.543005E-02
-6.336634E-01 7.458621E-02
-6.138614E-01 7.380828E-02
-5.940594E-01 7.309625E-02
-5.742574E-01 7.245012E-02
-5.544554E-01 7.186989E-02
-5.346535E-01 7.135557E-02
-5.148515E-01 7.090716E-02
-4.950495E-01 7.052464E-02
-4.752475E-01 7.020803E-02
-4.554455E-01 6.995732E-02
-4.356436E-01 6.977252E-02
-4.158416E-01 6.965362E-02
-3.960396E-01 6.960063E-02
-3.762376E-01 6.961353E-02
-3.564356E-01 6.969235E-02
-3.366337E-01 6.983706E-02
-3.168317E-01 7.004768E-02
-2.970297E-01 7.032420E-02
-2.772277E-01 7.066663E-02
-2.574257E-01 7.107496E-02
-2.376238E-01 7.154919E-02
-2.178218E-01 7.208933E-02
-1.980198E-01 7.269537E-02
-1.782178E-01 7.336731E-02
-1.584158E-01 7.410516E-02
-1.386139E-01 7.490891E-02
-1.188119E-01 7.577857E-02
-9.900990E-02 7.671413E-02
-7.920792E-02 7.771559E-02
-5.940594E-02 7.878295E-02
-3.960396E-02 7.991622E-02
-1.980198E-02 8.111540E-02
-8.673617E-18 8.238047E-02
1.980198E-02 8.371145E-02
3.960396E-02 8.510834E-02
5.940594E-02 8.657113E-02
7.920792E-02 8.809982E-02
9.900990E-02 8.969441E-02
1.188119E-01 9.135491E-02
1.386139E-01 9.308131E-02
1.584158E-01 9.487362E-02
1.782178E-01 9.673183E-02
1.980198E-01 9.865594E-02
2.178218E-01 1.006460E-01
2.376238E-01 1.027019E-01
2.574257E-01 1.048237E-01
2.772277E-01 1.070114E-01
2.970297E-01 1.092651E-01
3.168317E-01 1.115846E-01
3.366337E-01 1.139700E-01
3.564356E-01 1.164214E-01
3.762376E-01 1.189386E-01
3.960396E-01 1.215218E-01
4.158416E-01 1.241708E-01
4.356436E-01 1.268858E-01
4.554455E-01 1.296666E-01
4.752475E-01 1.325134E-01
4.950495E-01 1.354261E-01
5.148515E-01 1.384046E-01
5.346535E-01 1.414491E-01
5.544554E-01 1.445595E-01
5.742574E-01 1.477358E-01
5.940594E-01 1.509780E-01
6.138614E-01 1.542861E-01
6.336634E-01 1.576600E-01
6.534653E-01 1.610999E-01
6.732673E-01 1.646057E-01
6.930693E-01 1.681774E-01
7.128713E-01 1.718150E-01
7.326733E-01 1.755186E-01
7.524752E-01 1.792880E-01
7.722772E-01 1.831233E-01
7.920792E-01 1.870245E-01
8.118812E-01 1.909916E-01
8.316832E-01 1.950247E-01
8.514851E-01 1.991236E-01
8.712871E-01 2.032884E-01
8.910891E-01 2.075192E-01
9.108911E-01 2.118158E-01
9.306931E-01 2.161784E-01
9.504950E-01 2.206068E-01
9.702970E-01 2.251012E-01
9.900990E-01 2.296614E-01
