 m,M ->b,B
x-axis: "Sqrt(S)"  from 50.000000 to 2400.000000 N_points= 100
Cross Section [pb]
5.000000E+01 1.657554E+01
7.373737E+01 4.016761E+01
9.747475E+01 3.616287E+02
1.212121E+02 2.249833E+01
1.449495E+02 8.963873E+00
1.686869E+02 5.158305E+00
1.924242E+02 3.455230E+00
2.161616E+02 2.512761E+00
2.398990E+02 1.924323E+00
2.636364E+02 1.527271E+00
2.873737E+02 1.244432E+00
3.111111E+02 1.034700E+00
3.348485E+02 8.742799E-01
3.585859E+02 7.484993E-01
3.823232E+02 6.478567E-01
4.060606E+02 5.659496E-01
4.297980E+02 4.983209E-01
4.535354E+02 4.417820E-01
4.772727E+02 3.939982E-01
5.010101E+02 3.532252E-01
5.247475E+02 3.181370E-01
5.484848E+02 2.877098E-01
5.722222E+02 2.611425E-01
5.959596E+02 2.378003E-01
6.196970E+02 2.171746E-01
6.434343E+02 1.988541E-01
6.671717E+02 1.825029E-01
6.909091E+02 1.678446E-01
7.146465E+02 1.546498E-01
7.383838E+02 1.427271E-01
7.621212E+02 1.319154E-01
7.858586E+02 1.220786E-01
8.095960E+02 1.131010E-01
8.333333E+02 1.048838E-01
8.570707E+02 9.734201E-02
8.808081E+02 9.040249E-02
9.045455E+02 8.400195E-02
9.282828E+02 7.808541E-02
9.520202E+02 7.260502E-02
9.757576E+02 6.751898E-02
9.994949E+02 6.279076E-02
1.023232E+03 5.838835E-02
1.046970E+03 5.428371E-02
1.070707E+03 5.045228E-02
1.094444E+03 4.687262E-02
1.118182E+03 4.352603E-02
1.141919E+03 4.039635E-02
1.165657E+03 3.746974E-02
1.189394E+03 3.473451E-02
1.213131E+03 3.218105E-02
1.236869E+03 2.980176E-02
1.260606E+03 2.759106E-02
1.284343E+03 2.554544E-02
1.308081E+03 2.366355E-02
1.331818E+03 2.194641E-02
1.355556E+03 2.039770E-02
1.379293E+03 1.902405E-02
1.403030E+03 1.783563E-02
1.426768E+03 1.684677E-02
1.450505E+03 1.607688E-02
1.474242E+03 1.555162E-02
1.497980E+03 1.530451E-02
1.521717E+03 1.537902E-02
1.545455E+03 1.583150E-02
1.569192E+03 1.673504E-02
1.592929E+03 1.818497E-02
1.616667E+03 2.030636E-02
1.640404E+03 2.326487E-02
1.664141E+03 2.728221E-02
1.687879E+03 3.265893E-02
1.711616E+03 3.980851E-02
1.735354E+03 4.930953E-02
1.759091E+03 6.198749E-02
1.782828E+03 7.904667E-02
1.806566E+03 1.022894E-01
1.830303E+03 1.344932E-01
1.854040E+03 1.800863E-01
1.877778E+03 2.464089E-01
1.901515E+03 3.461855E-01
1.925253E+03 5.026077E-01
1.948990E+03 7.602101E-01
1.972727E+03 1.208080E+00
1.996465E+03 2.020429E+00
2.020202E+03 3.437882E+00
2.043939E+03 5.151945E+00
2.067677E+03 5.347738E+00
2.091414E+03 3.920407E+00
2.115152E+03 2.587799E+00
2.138889E+03 1.750594E+00
2.162626E+03 1.247842E+00
2.186364E+03 9.344404E-01
2.210101E+03 7.288686E-01
2.233838E+03 5.874625E-01
2.257576E+03 4.861377E-01
2.281313E+03 4.109922E-01
2.305051E+03 3.536268E-01
2.328788E+03 3.087505E-01
2.352525E+03 2.729051E-01
2.376263E+03 2.437556E-01
2.400000E+03 2.196806E-01
