 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 4.619885E-01
-9.702970E-01 4.532762E-01
-9.504950E-01 4.455021E-01
-9.306931E-01 4.386663E-01
-9.108911E-01 4.327686E-01
-8.910891E-01 4.278092E-01
-8.712871E-01 4.237879E-01
-8.514851E-01 4.207049E-01
-8.316832E-01 4.185601E-01
-8.118812E-01 4.173535E-01
-7.920792E-01 4.170851E-01
-7.722772E-01 4.177549E-01
-7.524752E-01 4.193630E-01
-7.326733E-01 4.219092E-01
-7.128713E-01 4.253937E-01
-6.930693E-01 4.298163E-01
-6.732673E-01 4.351772E-01
-6.534653E-01 4.414763E-01
-6.336634E-01 4.487136E-01
-6.138614E-01 4.568891E-01
-5.940594E-01 4.660028E-01
-5.742574E-01 4.760547E-01
-5.544554E-01 4.870449E-01
-5.346535E-01 4.989732E-01
-5.148515E-01 5.118398E-01
-4.950495E-01 5.256445E-01
-4.752475E-01 5.403875E-01
-4.554455E-01 5.560687E-01
-4.356436E-01 5.726881E-01
-4.158416E-01 5.902457E-01
-3.960396E-01 6.087416E-01
-3.762376E-01 6.281756E-01
-3.564356E-01 6.485478E-01
-3.366337E-01 6.698583E-01
-3.168317E-01 6.921070E-01
-2.970297E-01 7.152938E-01
-2.772277E-01 7.394189E-01
-2.574257E-01 7.644822E-01
-2.376238E-01 7.904837E-01
-2.178218E-01 8.174235E-01
-1.980198E-01 8.453014E-01
-1.782178E-01 8.741175E-01
-1.584158E-01 9.038719E-01
-1.386139E-01 9.345645E-01
-1.188119E-01 9.661952E-01
-9.900990E-02 9.987642E-01
-7.920792E-02 1.032271E+00
-5.940594E-02 1.066717E+00
-3.960396E-02 1.102100E+00
-1.980198E-02 1.138422E+00
-8.673617E-18 1.175682E+00
1.980198E-02 1.213881E+00
3.960396E-02 1.253017E+00
5.940594E-02 1.293092E+00
7.920792E-02 1.334105E+00
9.900990E-02 1.376056E+00
1.188119E-01 1.418945E+00
1.386139E-01 1.462772E+00
1.584158E-01 1.507538E+00
1.782178E-01 1.553242E+00
1.980198E-01 1.599884E+00
2.178218E-01 1.647465E+00
2.376238E-01 1.695983E+00
2.574257E-01 1.745440E+00
2.772277E-01 1.795835E+00
2.970297E-01 1.847168E+00
3.168317E-01 1.899440E+00
3.366337E-01 1.952649E+00
3.564356E-01 2.006797E+00
3.762376E-01 2.061883E+00
3.960396E-01 2.117907E+00
4.158416E-01 2.174870E+00
4.356436E-01 2.232771E+00
4.554455E-01 2.291609E+00
4.752475E-01 2.351387E+00
4.950495E-01 2.412102E+00
5.148515E-01 2.473755E+00
5.346535E-01 2.536347E+00
5.544554E-01 2.599877E+00
5.742574E-01 2.664345E+00
5.940594E-01 2.729752E+00
6.138614E-01 2.796096E+00
6.336634E-01 2.863379E+00
6.534653E-01 2.931600E+00
6.732673E-01 3.000759E+00
6.930693E-01 3.070856E+00
7.128713E-01 3.141892E+00
7.326733E-01 3.213866E+00
7.524752E-01 3.286778E+00
7.722772E-01 3.360628E+00
7.920792E-01 3.435417E+00
8.118812E-01 3.511143E+00
8.316832E-01 3.587808E+00
8.514851E-01 3.665411E+00
8.712871E-01 3.743953E+00
8.910891E-01 3.823432E+00
9.108911E-01 3.903850E+00
9.306931E-01 3.985206E+00
9.504950E-01 4.067500E+00
9.702970E-01 4.150732E+00
9.900990E-01 4.234903E+00
